"","logFC","logCPM","PValue","FDR"
"YEL012W",-0.99282325090068,6.66417677514494,3.27343804974194e-12,8.17254554444011e-11
"YLR049C",-1.24298197065061,5.30421866683197,3.54441513429141e-12,8.81189258386651e-11
"YPL222W",-1.23828035916847,6.10100749526219,3.56208068236062e-12,8.8187579069154e-11
"YIL042C",-0.929043482013757,6.72134563564806,4.10045057869954e-12,1.01093191975688e-10
"YPL113C",-1.26543544714074,5.4369342861975,4.21636235383424e-12,1.03376931096095e-10
"YKL104C",-0.766981627209869,8.39760274469569,4.24265003800401e-12,1.03376931096095e-10
"YGL168W",-1.05332277292146,6.22547526007732,4.24549505768989e-12,1.03376931096095e-10
"YNL079C",-0.591613030570811,8.96720346333082,4.54830246403947e-12,1.10296334752957e-10
"YMR191W",-1.1944358076208,6.22040297105667,4.56788844079128e-12,1.10319166955763e-10
"YOR327C",-0.719069165629153,7.58998741829814,4.75519740665089e-12,1.14376028679485e-10
"YDR019C",2.41100036712846,6.15738196658355,4.8198149792525e-12,1.15460911871405e-10
"YGL027C",-0.794748241279153,7.71455780093923,4.86849293916514e-12,1.16156744842904e-10
"YDR345C",0.797492076218589,11.7303454259037,5.54061532038334e-12,1.31661931127342e-10
"YNL332W",-3.67871728159853,3.24383941774343,5.57950352234078e-12,1.32055689366762e-10
"YPL153C",-1.30757239452399,5.09524244597923,5.60517837365339e-12,1.32134822457797e-10
"YAL053W",-0.749303813111311,8.93209306020626,5.79324657614746e-12,1.36026349170891e-10
"YJL103C",-1.39662737006895,4.97745473044557,6.03965186954252e-12,1.41251462893609e-10
"YGR109W-A",-1.15319291847615,5.56654158288076,6.34004171898732e-12,1.47693019099401e-10
"YGL158W",-1.14048399588815,5.66720841201623,6.88879389789198e-12,1.59847033309125e-10
"YKL117W",-0.574685839660971,9.52082060867324,8.90434968891362e-12,2.05808738708211e-10
"YJR070C",1.0575525625492,7.54864390422299,9.82275947315704e-12,2.26152793006499e-10
"YGR050C",-1.78552810101378,4.4189693913884,1.11706024806129e-11,2.56187809603823e-10
"YOL130W",0.80943688334243,7.17068704243869,1.26671623163182e-11,2.89388414770868e-10
"YLR149C",-1.06973012667689,6.61931462623695,1.29159665470934e-11,2.939375925352e-10
"YAR015W",1.19082782254271,7.82915136511493,1.30115384077527e-11,2.94978056546639e-10
"YNL156C",-0.864322605524951,6.97265060416307,1.44971319937129e-11,3.27402786285493e-10
"YLR359W",0.950161232979089,8.72930692057472,1.82936725417483e-11,4.11572853344201e-10
"YBR177C",-0.78136685532465,7.39066081373304,1.9056053231442e-11,4.27101011251674e-10
"YOL070C",-0.77317981669601,6.83031915546946,1.96931400097717e-11,4.39714375237053e-10
"YNL100W",-0.882903875227094,6.56440769048801,2.00348417601336e-11,4.45662250731994e-10
"YMR300C",1.40221854133881,7.09070061712576,2.04487245820411e-11,4.53165181093398e-10
"YLL052C",2.33294834679536,3.41998745928788,2.12209563917719e-11,4.68523876754159e-10
"YBL001C",-0.844649888344707,6.85896790912992,2.16662920305954e-11,4.76577880836554e-10
"YKL037W",-1.5109104466184,4.7825253720983,2.34663634549267e-11,5.14261009491857e-10
"YIR037W",-0.804359707604681,7.35620358111368,2.36158807338249e-11,5.15627919933734e-10
